igpu_frac,backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
0.08,hybrid,24576,24576,100,1,256,0,0,2269.02122,2269.19197,26618.51598,26616.51301
0.08,hybrid,24576,24576,100,1,256,0,0,2268.707866,2268.841838,26622.19253,26620.62052
0.08,hybrid,24576,24576,100,1,256,0,0,2258.531035,2258.667177,26742.15083,26740.53894
0.08,hybrid,24576,24576,100,1,256,0,0,2402.771292,2402.965857,25136.79841,25134.76312
0.10,hybrid,24576,24576,100,1,256,0,0,2805.688285,2805.866744,21526.97359,21525.60442
0.10,hybrid,24576,24576,100,1,256,0,0,2940.885884,2941.06951,20537.34146,20536.05921
0.10,hybrid,24576,24576,100,1,256,0,0,2981.064739,2981.234508,20260.53873,20259.38498
0.10,hybrid,24576,24576,100,1,256,0,0,3050.870059,3051.032898,19796.96822,19795.91162
0.10,hybrid,24576,24576,100,1,256,0,0,3109.375263,3109.542197,19424.47357,19423.43077
0,hybrid,32768,32768,60,1,256,0,0,2039.665353,2039.703844,31585.8233,31585.22725
0,hybrid,32768,32768,60,1,256,0,0,2045.671529,2045.741339,31493.08602,31492.01134
0,hybrid,32768,32768,60,1,256,0,0,2037.327641,2037.376053,31622.06615,31621.31475
0,hybrid,32768,32768,60,1,256,0,0,2063.904884,2063.975158,31214.8636,31213.8008
0,hybrid,32768,32768,60,1,256,0,0,2060.356012,2060.432844,31268.62982,31267.46384
0.03,hybrid,32768,32768,60,1,256,0,0,1984.699738,1984.803746,32460.58243,32458.88142
0.03,hybrid,32768,32768,60,1,256,0,0,2011.722104,2011.810269,32024.55713,32023.15369
0.03,hybrid,32768,32768,60,1,256,0,0,1981.025033,1981.113042,32520.79523,32519.35052
0.03,hybrid,32768,32768,60,1,256,0,0,2019.538689,2019.626,31900.6067,31899.2276
0.03,hybrid,32768,32768,60,1,256,0,0,2003.649477,2003.775917,32153.58284,32151.55392
0.04,hybrid,32768,32768,60,1,256,0,0,1979.824428,1979.908973,32540.51649,32539.12696
0.04,hybrid,32768,32768,60,1,256,0,0,1978.175219,1978.262816,32567.64559,32566.2035
0.04,hybrid,32768,32768,60,1,256,0,0,1959.728599,1959.810518,32874.19976,32872.82564
0.04,hybrid,32768,32768,60,1,256,0,0,1966.745192,1966.83898,32756.91722,32755.35521
0.04,hybrid,32768,32768,60,1,256,0,0,1963.782863,1963.869781,32806.3304,32804.87844
0.05,hybrid,32768,32768,60,1,256,0,0,1945.041645,1945.150828,33122.43191,33120.57271
0.05,hybrid,32768,32768,60,1,256,0,0,1969.407815,1969.50334,32712.63014,32711.04351
0.05,hybrid,32768,32768,60,1,256,0,0,1941.412832,1941.496423,33184.34306,33182.91431
0.05,hybrid,32768,32768,60,1,256,0,0,1980.576436,1980.663043,32528.16113,32526.73879
0.05,hybrid,32768,32768,60,1,256,0,0,1977.013066,1977.108004,32586.78991,32585.22514
0.06,hybrid,32768,32768,60,1,256,0,0,1931.233747,1931.328165,33359.25003,33357.61918
